New York City,NY,US
Los Angeles,CA,US
Chicago,IL,US
Houston,TX,US
Philadelphia,PA,US
Phoenix,AZ,US
San Antonio,TX,US
San Diego,CA,US
Dallas,TX,US
San Jose,CA,US
Buffalo,NY,US
Boston,MA,US
Columbus,OH,US
Detroit,MI,US
Nashville,TN,US
Anaheim,CA,US
St. Louis,MO,US
Pittsburgh,PA,US
Washington,DC,US
Newark,NJ,US
Raleigh,NC,US
Miami,FL,US
Tampa,FL,US
Denver,CO,US
St. Paul,MN,US
Baltimore,MD,US
Cincinnati,OH,US
Cleveland,OH,US
Indianapolis,IN,US
Jacksonville,FL,US
Oakland,CA,US
San Francisco,CA,US
Kansas City,MO,US
Green Bay,WI,US
Minneapolis,MN,US
Atlanta,GA,US
New Orleans,LA,US
Charlotte,NC,US
Seattle,WA,US
Mountain View,CA,US
Palo Alto,CA,US
Berkeley,CA,US
